                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5929,                 1.8218,                 1.7999,                0.34152,                 0.4094,                0.30974,                0.17921,                 1.8162,                 2.5585,                 1.9251,             0.00036923,             0.00036923,             0.00036923
                      2,                 1.5514,                 1.4782,                 1.7552,                 0.3434,                0.34716,                0.26869,                0.14936,                 1.8684,                 2.9695,                 1.9046,             0.00066635,             0.00066635,             0.00066635
                      3,                 1.4929,                 1.3626,                 1.7195,                0.40949,                0.36014,                 0.3261,                0.17201,                 1.7601,                 2.3693,                 1.8686,             0.00089014,             0.00089014,             0.00089014
                      4,                 1.4266,                 1.2026,                 1.6591,                0.45481,                0.33857,                0.34362,                0.20199,                 1.6624,                 2.5672,                 1.8086,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.3955,                 1.1134,                 1.6296,                 0.5057,                0.44737,                0.40526,                0.23997,                  1.541,                 2.2343,                 1.6844,             0.00078103,             0.00078103,             0.00078103
                      6,                 1.3194,                 1.0082,                 1.5745,                0.46904,                0.43819,                0.39558,                0.24528,                 1.4824,                 2.1349,                 1.6298,             0.00067104,             0.00067104,             0.00067104
                      7,                 1.2559,                0.92298,                 1.5201,                0.66242,                0.45252,                0.48608,                0.31162,                 1.4633,                 2.1277,                 1.6069,             0.00056105,             0.00056105,             0.00056105
                      8,                 1.2162,                0.84561,                 1.4798,                0.62896,                0.47305,                0.46853,                0.29203,                 1.4365,                 2.0647,                 1.6014,             0.00045107,             0.00045107,             0.00045107
                      9,                 1.1429,                0.76801,                 1.4306,                0.79526,                0.45762,                0.47332,                0.30566,                 1.3804,                 2.2209,                 1.5684,             0.00034108,             0.00034108,             0.00034108
                     10,                  1.097,                0.71217,                 1.3951,                0.68778,                0.49904,                0.52193,                0.34192,                 1.3541,                 2.2325,                  1.531,             0.00023109,             0.00023109,             0.00023109
